"Term","English Equivalent","Phonetic Pronunciation","Part of Speech","Franchise","Medium","Related Words (Cross-Franchise)","Real-World Euphemisms","Category","Severity","Notable Speaker","First Appearance (Episode/Chapter/Issue)","Short Description","Etymology (Narrative)","Semantic Drift Timeline","Usage History (Narrative)","Taboo Trajectory (Narrative)","Regional Notes (In-Universe)","Example Quote"
"Smeg / Smeghead","Dickhead / Idiot (vulgar)","SMEG-hed","Noun (Insult)","Red Dwarf","TV","Gonk (Cyberpunk); S'wit (Elder Scrolls); Woolhead (Wheel of Time)","Dickhead; Wanker; Idiot; Fool","Insult; Obscenity","Extreme","Arnold Rimmer (Chris Barrie) / Lister (Craig Charles)","S1E1 'The End' (1988)","The signature insult of Red Dwarf. 'Smeghead' combines the show's all-purpose expletive with 'head' to create an insult roughly equivalent to 'dickhead.'","Compound of 'smeg' (the show's invented expletive) and 'head.' The creators insist 'smeg' was not derived from 'smegma,' though the connection is widely assumed by audiences.","Started as a simple insult. Became the show's single most iconic word, used more than any other profanity. 'Smeghead' transcended the show to become recognized British slang.","Used throughout all series of Red Dwarf since 1988. One of the most recognized fictional insults in British comedy. Entered the Oxford English Dictionary as informal British slang.","Started as a broadcast-safe insult for BBC. Gained real cultural currency in Britain. Its resemblance to 'smegma' gave it an authentic vulgarity that purely invented words often lack.","Used aboard Red Dwarf and in future Earth settings. No regional variation.","Rimmer, you're such a smeghead."
"Gimboid","Idiot / Moron","GIM-boyd","Noun (Insult)","Red Dwarf","TV","Gonk (Cyberpunk); S'wit (Elder Scrolls)","Idiot; Dimwit; Nitwit; Numpty","Insult","Mild","Various characters","Red Dwarf (1988+)","An insult in the Red Dwarf universe meaning a stupid or worthless person.","An invented future-English insult. No clear etymology within the show's universe.","Remained a mild insult throughout the series, overshadowed by the more iconic 'smeghead.'","Used throughout Red Dwarf. Less prominent than 'smeg' but part of the show's distinctive vocabulary.","A mild insult. Less taboo than 'smeghead' but still dismissive.","Used aboard Red Dwarf.","Listen here, you total gimboid."
"D'Arvit","Damn / Fuck (extremely strong)","DAR-vit","Interjection","Artemis Fowl","Books","Frak (BSG); Frell (Farscape); Kriff (Star Wars)","Damn; Blast; The worst word imaginable","Profanity; Obscenity","Extreme","Various fairy characters, especially Mulch Diggums","Artemis Fowl by Eoin Colfer (2001)","A Gnommish swear word described by the author as so severe when translated that it would need to be censored.","A word from Gnommish, the fairy language in Artemis Fowl. Author Eoin Colfer deliberately left it untranslated, stating only that it was too strong for the page.","Remained consistently the strongest curse in the fairy vocabulary throughout the series.","Used throughout the Artemis Fowl series (2001-2012). Became a favorite real-world substitute expletive among the book's young readers.","Positioned as the most extreme fairy expletive. Its untranslated status increases its mystique and perceived severity.","Used by fairy (Lower Elements) species. Not typically used by humans in the Artemis Fowl world.","D'Arvit! They've breached the lower levels!"
"Mud Man / Mud People","Derogatory term for humans","MUD-man","Noun (Slur)","Artemis Fowl","Books","Mud-monkey (Supernatural); Normie (Discworld); Muggle (Harry Potter as condescending)","Barbarian; Savage; Primitive; Heathen","Slur; Insult","Moderate","Various fairy characters","Artemis Fowl by Eoin Colfer (2001)","The fairy term for humans, implying they are dirty, surface-dwelling primitives compared to the technologically advanced underground fairy civilization.","Fairies live underground in high-tech cities. Humans live on the muddy surface. The term reduces humans to their surface habitat, implying primitiveness.","Started as casual prejudice. As the series progresses and fairies work with Artemis, some characters moderate their language while others double down.","Used throughout the Artemis Fowl series. Central to the books' exploration of inter-species prejudice.","Begins as universal fairy condescension toward humans. Characters who befriend Artemis gradually stop using it, while antagonists continue.","Universal among fairy (Lower Elements) society.","The Mud People are destroying the surface. Again."
"Storming","Fucking / Damn (adjective)","STORM-ing","Adjective/Interjection","The Stormlight Archive","Books","Smegging (Red Dwarf); Frelling (Farscape); Kriffing (Star Wars); Gorram (Firefly)","Freaking; Blasted; Bloody; Damn","Profanity; Blasphemy","Moderate","Kaladin Stormblessed, Dalinar Kholin, various","The Way of Kings by Brandon Sanderson (2010)","The primary profane modifier in the Stormlight Archive. Derives from the devastating highstorms that dominate life on Roshar.","On Roshar, highstorms are immensely destructive hurricanes central to all life. Using 'storms' as profanity reflects the deep cultural impact of this ever-present natural force.","Stable — consistently the primary profane modifier. Works as exclamation ('Storms!'), adjective ('storming'), and verb phrase ('storm it').","The Way of Kings (2010) through Wind and Truth (2024). All five published Stormlight Archive novels.","Widely cited as an exemplary case of worldbuilding-derived profanity. Feels natural because the thing it invokes is genuinely feared by every character.","Universal across Roshar. Used by Alethi, Veden, and other Rosharan cultures.","Storming lighteyes! You storming fool!"
"Crem","Crap / Shit (mild)","KREM","Noun","The Stormlight Archive","Books","Dren (Farscape); Druk (Star Wars); Fewmets (Dragonriders of Pern)","Crap; Crud; Muck; Gunk","Scatological; Profanity","Mild","Various characters","The Way of Kings by Brandon Sanderson (2010)","The most common mild swear word on Roshar. Crem is the stony mineral runoff carried by highstorms that hardens and coats everything.","Crem is a real substance on Roshar — mineral deposits left by highstorm rains. It clogs pipes, covers buildings, and must be constantly chiseled away. It's the perfect mild swear word because everyone deals with it and finds it annoying.","Remains mild throughout the series. Functions like 'crap' — vulgar but not shocking.","Used throughout the Stormlight Archive. One of the most praised examples of worldbuilding-derived profanity in fantasy literature.","Remains mild. It's the 'crap' of Roshar — something everyone says, even in polite company. Not the strongest oath but universally understood.","Universal across Roshar. Every culture deals with crem buildup after highstorms.","What a load of crem."
"Rust and Ruin","God damn it / Jesus Christ","RUST and ROON","Interjection","Mistborn (Era 2)","Books","Blood and ashes (Wheel of Time); Kelek's breath (Stormlight); By the Throne (Warhammer 40K)","God damn; Good Lord; Christ almighty; Holy cow","Blasphemy","Moderate","Waxillium Ladrian","The Alloy of Law by Brandon Sanderson (2011)","A blasphemous exclamation invoking Ruin, one of the two primal gods of Scadrial. 'Rust' refers to the destructive force of entropy.","In Scadrial's theology, Ruin and Preservation are the two primal forces. 'Rust' is associated with Ruin's entropy. Invoking them is blasphemous because these are real, documented divine forces in this world.","Consistent through Mistborn Era 2. The phrase and its variants (just 'Rust!' or 'Rusts!') are the primary blasphemous exclamations.","Introduced in The Alloy of Law (2011). Part of Sanderson's consistent approach of tying profanity to world-specific theology.","Functions as genuine blasphemy in a world where the gods were real, documented entities. Carries more theological weight than most fictional oaths.","Used in the Elendel Basin region of Scadrial during Era 2.","Rust and Ruin, that was close!"
"Blood and bloody ashes","Goddammit / Son of a bitch","blud and BLUD-ee ASH-ez","Interjection","The Wheel of Time","Books/TV","Rust and Ruin (Mistborn); Holy forking shirtballs (Good Place); By the Light (WoT)","God damn it; Son of a gun; Bloody hell","Blasphemy; Profanity","Moderate","Mat Cauthon, Rand al'Thor, various","The Eye of the World by Robert Jordan (1990)","The Wheel of Time's most iconic oath. A compound profanity expressing extreme frustration, surprise, or anger.","'Ashes' likely reference destruction and death. 'Blood' adds visceral intensity. A culturally specific compound oath. Robert Jordan deliberately avoided real-world profanity.","Stable throughout all 14 books. Mat Cauthon uses it most, making it almost his personal catchphrase.","The Wheel of Time books (1990-2013, 14 volumes). Amazon TV adaptation (2021-present).","Represents the strongest tier of the WoT profanity system, which is notably mild compared to contemporaries like ASOIAF. Roughly equivalent to a vigorous 'goddammit.'","Used across the Westlands. Mat Cauthon, being from the Two Rivers, uses it most, but it's widespread.","Blood and bloody ashes! What's going on?"
"Light!","God! / Oh God!","LYTE","Interjection","The Wheel of Time","Books/TV","Storms (Stormlight); By the Maker (Dragon Age); Kelek's breath (Stormlight)","God; Good Lord; Christ; Heavens","Blasphemy","Mild","Various characters","The Eye of the World by Robert Jordan (1990)","An exclamation invoking the Light, the divine force of good in the Wheel of Time cosmology. Used as one would say 'God!' or 'Good Lord!'","The Light is the fundamental force of good in WoT cosmology, opposed by the Dark One. Invoking it in exclamation follows the pattern of using divine names as mild profanity.","Consistent throughout the series. Used in many forms: 'Light!', 'Light help me', 'Thank the Light', 'By the Light'.","Used throughout all 14 Wheel of Time books and the TV adaptation.","Mild blasphemy. Everyone in the Westlands invokes the Light casually. It's the baseline level of profanity.","Universal across the Westlands.","Light! I thought you were dead!"
"Wool-headed","Stupid / Stubborn","WOOL-hed-id","Adjective (Insult)","The Wheel of Time","Books/TV","Gonk (Cyberpunk); S'wit (Elder Scrolls); Smeghead (Red Dwarf)","Stubborn; Thickheaded; Blockhead; Mule-headed","Insult","Mild","Nynaeve al'Meara","The Eye of the World by Robert Jordan (1990)","An insult meaning someone stubbornly denying truth or acting foolishly. Nynaeve's signature put-down.","Derived from 'wool' (sheep-like, not thinking clearly) and 'headed.' Suggests someone with wool for brains who refuses to see reason.","Remained Nynaeve's signature insult throughout the entire series.","Used extensively throughout all 14 Wheel of Time books, most frequently by Nynaeve al'Meara.","Mild by any standard. Part of the Wheel of Time's generally restrained approach to profanity. Its charm is in its folksy specificity.","Two Rivers / Westlands expression.","Men! Wool-headed fools, the lot of them!"
"Mother's milk in a cup","Son of a bitch / Motherfucker (shock)","MUTH-erz milk in a KUP","Interjection","The Wheel of Time","Books","Son of a mynock (Star Wars); Sithspawn (Star Wars)","Son of a bitch; Motherfucker; Bloody hell","Obscenity; Profanity","Extreme","Various characters","The Wheel of Time series (various)","An oath expressing extreme disgust or shock. Its vulgarity is in the implication rather than explicit meaning.","The expression implies something so shocking it makes one revert to infantile needs. The vulgarity is in the imagery of regression and degradation.","Used as one of the stronger exclamations in the series. Reserved for moments of genuine shock or outrage.","Scattered throughout the Wheel of Time series. Less frequent than 'blood and ashes' but stronger.","One of the strongest oaths in the Wheel of Time's deliberately PG-13 profanity system.","Used across the Westlands, often by soldiers and rougher characters.","Mother's milk in a cup! That's the Dragon Reborn!"
